Timestamp,Day,Participant,Location Coordinates,HRV
2023-01-19 18:52:30,Thursday,3,"52.285862, 10.5642026",
2023-01-19 18:52:40,Thursday,3,"52.28547388, 10.56424546",
2023-01-19 18:52:50,Thursday,3,"52.28471093, 10.56382019",
2023-01-19 18:53:00,Thursday,3,"52.28394921, 10.56308719",183.3107025338
2023-01-19 18:53:10,Thursday,3,"52.28324103, 10.56238451",183.3107025338
2023-01-19 18:53:20,Thursday,3,"52.28257467, 10.5616823",183.3107025338
2023-01-19 18:53:30,Thursday,3,"52.2819723, 10.56106128",
2023-01-19 18:53:40,Thursday,3,"52.2816454, 10.5607194142857",
2023-01-19 18:53:50,Thursday,3,"52.28104095, 10.56033875",
2023-01-19 18:54:00,Thursday,3,"52.2803864, 10.5601966",
2023-01-19 18:54:10,Thursday,3,"52.27951975, 10.5589145",
2023-01-19 18:54:20,Thursday,3,"52.2790185, 10.5582133",
2023-01-19 18:54:20,Thursday,3,"52.27881825, 10.5580104666667",
2023-01-19 18:54:30,Thursday,3,"52.2786175, 10.5573976",
2023-01-19 18:55:00,Thursday,3,"52.2785159, 10.556876",
2023-01-19 18:55:10,Thursday,3,"52.2784631142857, 10.5566628571429",
2023-01-19 18:55:20,Thursday,3,"52.2783948, 10.5562",
2023-01-19 18:55:30,Thursday,3,"52.278086, 10.5548576",
2023-01-19 18:55:30,Thursday,3,"52.2782982166667, 10.5556820833333",
2023-01-19 18:55:40,Thursday,3,"52.27790579, 10.5538115",
2023-01-19 18:55:50,Thursday,3,"52.27764052, 10.55248759",
2023-01-19 18:56:00,Thursday,3,"52.27736355, 10.55134644",78.7259475065
2023-01-19 18:56:10,Thursday,3,"52.27716926, 10.55029769",78.7259475065
2023-01-19 18:56:20,Thursday,3,"52.2770623, 10.54972365",78.7259475065
2023-01-19 18:56:40,Thursday,3,"52.2769886, 10.5493757",72.6996483249
2023-01-19 18:56:50,Thursday,3,"52.2769961, 10.5490728",72.6996483249
2023-01-19 18:57:40,Thursday,3,"52.2776656666667, 10.54619975",
2023-01-19 18:57:50,Thursday,3,"52.2776275, 10.5456385",
2023-01-19 18:59:00,Thursday,3,"52.2762688, 10.5390799",67.7284126499
2023-01-19 18:59:10,Thursday,3,"52.2762053, 10.5387724",67.7284126499
2023-01-19 18:59:20,Thursday,3,"52.27610033, 10.5382897",67.7284126499
2023-01-19 18:59:30,Thursday,3,"52.27585168, 10.53696656",45.4252957321
2023-01-19 18:59:40,Thursday,3,"52.27564815, 10.53580156",45.4252957321
2023-01-19 18:59:50,Thursday,3,"52.27552082, 10.53443935",45.4252957321
2023-01-19 19:00:00,Thursday,3,"52.2755061, 10.5337751",87.7503211196
2023-01-19 19:00:20,Thursday,3,"52.27548795, 10.53321345",87.7503211196
2023-01-19 19:00:30,Thursday,3,"52.2755086, 10.5317671",89.4854109725
2023-01-19 19:00:40,Thursday,3,"52.2755742, 10.5302792",89.4854109725
2023-01-19 19:00:50,Thursday,3,"52.2755745, 10.5293571",89.4854109725
2023-01-19 19:01:00,Thursday,3,"52.275563, 10.5291811",
2023-01-19 19:01:10,Thursday,3,"52.2755422, 10.5288124",
2023-01-19 19:01:20,Thursday,3,"52.27553935, 10.52836306",
2023-01-19 19:01:30,Thursday,3,"52.2755342, 10.5280586",123.5892314897
2023-01-19 19:01:40,Thursday,3,"52.2755325, 10.5276993",123.5892314897
2023-01-20 14:16:40,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:32:20,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:32:30,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:32:40,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:32:50,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:33:00,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:33:10,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:33:20,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:33:30,Friday,4,"52.31569833, 10.55921829",
2023-01-20 14:33:40,Friday,4,"52.31568584, 10.55921062",
2023-01-20 14:33:50,Friday,4,"52.315619531, 10.559234135",
2023-01-20 14:34:00,Friday,4,"52.315636022, 10.559301233",
2023-01-20 14:34:10,Friday,4,"52.315624123, 10.55930628",
2023-01-20 14:34:20,Friday,4,"52.315630244, 10.559305584",
2023-01-20 14:34:30,Friday,4,"52.315634204, 10.559305598",
2023-01-20 14:34:40,Friday,4,"52.315637824, 10.559305499",
2023-01-20 14:34:50,Friday,4,"52.315640783, 10.559305695",
2023-01-20 14:35:00,Friday,4,"52.315645319, 10.559306012",
2023-01-20 14:35:10,Friday,4,"52.315650017, 10.559307463",
2023-01-20 14:35:20,Friday,4,"52.31565169, 10.559313278",
2023-01-20 14:35:30,Friday,4,"52.315651585, 10.559304164",
2023-01-20 14:35:40,Friday,4,"52.31564573, 10.559307211",
2023-01-20 14:35:50,Friday,4,"52.315547523, 10.559522621",
2023-01-20 14:36:00,Friday,4,"52.315208659, 10.559553605",
2023-01-20 14:36:10,Friday,4,"52.314733921, 10.559320665",
2023-01-20 14:36:20,Friday,4,"52.314077877, 10.559432427",
2023-01-20 14:36:30,Friday,4,"52.313383764, 10.559506524",
2023-01-20 14:36:40,Friday,4,"52.312778963, 10.559490864",
2023-01-20 14:36:50,Friday,4,"52.31250512, 10.55958429",
2023-01-20 14:37:40,Friday,4,"52.3091335666667, 10.5597778422222",
2023-01-20 14:37:50,Friday,4,"52.308502882, 10.559812271",
2023-01-20 14:38:00,Friday,4,"52.307884164, 10.559809416",
2023-01-20 14:38:10,Friday,4,"52.307289137, 10.559815206",
2023-01-20 14:38:20,Friday,4,"52.306706859, 10.559823333",
2023-01-20 14:38:30,Friday,4,"52.306122851, 10.559954859",
2023-01-20 14:38:40,Friday,4,"52.305547862, 10.560052275",
2023-01-20 14:38:50,Friday,4,"52.304919658, 10.560110507",
2023-01-20 14:39:00,Friday,4,"52.30430579, 10.5601177",
2023-01-20 14:39:10,Friday,4,"52.303699749, 10.560132457",
2023-01-20 14:39:20,Friday,4,"52.30314311, 10.560089921",
2023-01-20 14:39:30,Friday,4,"52.302600707, 10.560102249",
2023-01-20 14:39:40,Friday,4,"52.301965175, 10.560153747",
2023-01-20 14:39:50,Friday,4,"52.301335609, 10.560293909",
